cellid,enodebid,physcellid,time_timestamp,localcellid,eutrancellid1,eutrancellid2,eutrancellid3,avg_dlrsrp_s,avg_dlrsrq_s,avg_longitude,avg_latitude,avg_dlearfcn,avg_dlrsrp_d1,avg_dlrsrq_d1,avg_dlrsrp_d2,avg_dlrsrq_d2,avg_dlrsrp_d3,avg_dlrsrq_d3,avg_dlcqi,avg_ta
2,20346,20,00:03.0,2,5208576,6156062,,-98,-17.5,80.053204,7.16271,1725,-98,-16,-98,-15,,,11,6
1,25629,115,01:12.0,1,5227294,5227274,,-109,-16.3,80.313459,8.163011,1725,-107.5,-15,-109.5,-17.5,,,6,13.5
1,25629,115,00:51.0,1,6561024,,,-109,-13.8,80.324888,8.167288,1725,-113,-18.1,,,,,5.5,22.3
2,21456,189,01:29.0,2,6597888,6107925,,-113,-15.5,81.692726,7.572679,1725,-115,-18,-117,-16,,,5,62
3,21585,112,01:45.0,3,4294967295,4294967295,6017536,-116,-20,80.140287,7.125365,1725,-113,-17.5,-116,-19.3,-119,-20,5.5,22
1,25629,115,00:10.0,1,6561024,,,-109.1,-13.5,80.323513,8.1668,1725,-115.3,-18,,,,,9,24.2
3,25629,346,00:00.0,3,5809695,,,-112,-12.5,80.308866,8.189043,1725,-119,-18,,,,,12,26
1,25629,115,01:59.0,1,5227294,6561024,,-111,-12.5,80.316009,8.158714,1725,-116,-14.5,-120,-20,,,15,18
0,25629,116,01:06.0,0,6561025,,,-99.3,-12.5,80.315948,8.170597,1725,-106,-18.8,,,,,7,7
0,20697,339,01:35.0,0,5298453,5298443,,-93,-15.9,79.954414,7.170633,1725,-92.5,-15.4,-98.5,-19.4,,,9,4.5
1,21193,169,00:07.0,1,6152704,,,-82,-11.2,79.856249,6.895836,1725,-88.3,-17.4,,,,,9.9,1.3
12,24860,405,01:46.0,12,6243328,,,-109,-15,79.859343,7.242093,1725,-112,-18.5,,,,,5,8
22,25709,423,01:49.0,22,5196830,6581506,5196801,-89,-15.5,81.831036,7.412755,1725,-92,-17,-95,-20,-96,-20,,
21,20697,341,00:04.0,21,5298432,,,-92.7,-15.1,79.952457,7.170742,1725,-94.9,-16,,,,,7,8.2
0,23520,180,00:39.0,0,5769473,,,-98,-14.5,79.910309,7.143012,1725,-109,-20,,,,,,
0,20421,48,01:32.0,0,5405451,,,-102.4,-15.6,80.404882,8.328906,1725,-105.4,-18,,,,,3.3,28
1,26939,105,00:48.0,1,5223681,5223710,,-93,-14.5,81.85743,7.236847,1725,-93,-15,-94,-16.5,,,5,6
1,26939,105,00:39.0,1,5223710,5223681,,-94,-13,81.858015,7.236958,1725,-95,-14.5,-95,-15,,,5,6
0,24227,98,01:33.0,0,6202113,,,-96,-11.5,79.859935,6.91484,1725,-99,-15,,,,,,
1,25629,115,00:43.0,1,6561024,,,-109,-13.4,80.327663,8.165515,1725,-113.9,-16.9,,,,,6.3,25.2
0,25629,116,01:50.0,0,6561027,,,-119,-14.5,80.314881,8.176418,1725,-122,-18,,,,,6,10
30,24045,144,01:26.0,30,6127104,,,-111,-14.4,81.516944,7.942371,1725,-113.4,-16.7,,,,,5.7,37
10,24045,95,01:15.0,10,6600960,,,-113,-13,81.543723,7.952972,1725,-120,-16.5,,,,,,64
0,20559,114,01:37.0,0,5263136,,,-115,-13,79.873184,6.977116,1725,-116,-15,,,,,,2
0,22689,309,00:00.0,0,6165248,,,-101,-13,80.364628,7.473154,1725,-106,-18.5,,,,,7,13
0,23520,180,00:13.0,0,5769473,,,-100,-14.5,79.910327,7.14324,1725,-109,-20,,,,,8,11
0,24227,98,00:06.0,0,5124096,5128962,6202113,-94,-14.5,79.86005,6.914903,1725,-97,-17.5,-98,-17,-98,-18,,2
0,25629,116,00:39.0,0,6561025,,,-112,-17,80.321576,8.170572,1725,-109,-14,,,,,6,17
81,27252,413,01:47.0,81,6256722,6976602,,-105.3,-13.5,81.810239,7.366014,525,-107.3,-15.7,-109,-17,,,6,8.5
0,20195,330,01:30.0,0,6288643,,,-100.3,-12.1,79.891831,7.086765,1725,-102.8,-13.8,,,,,9,5
0,20195,330,01:21.0,0,5282562,6288643,6158850,-97,-11.5,79.890357,7.08679,1725,-102,-15.5,-105,-17.5,-109,-19.5,10,6
20,20303,211,00:07.0,20,5197578,,,-90.8,-12.5,81.726391,7.68663,1725,-103.3,-19.5,,,,,7.8,6
2,20771,346,01:59.0,2,5317397,,,-98.3,-11.9,79.986272,9.74976,1725,-103.7,-17.4,,,,,9,7.7
0,20697,339,00:36.0,0,5298433,,,-95,-13.9,79.949903,7.17325,1725,-100.7,-16.7,,,,,10.8,4.2
22,21115,127,01:00.0,22,5405452,,,-99.3,-13.8,80.410178,8.333666,1725,-105.5,-19.5,,,,,8,2
12,23002,153,01:45.0,12,5284619,5284629,,-112,-16.5,80.115791,7.020817,1725,-114,-17.5,-116,-16.5,,,7,25
1,20254,199,00:36.0,1,5185024,,,-91,-12.5,79.89457,6.99045,1725,-98,-17,,,,,,
10,20303,212,00:54.0,10,5232396,6311168,6311190,-114,-13,81.7294,7.686876,1725,-116,-14.5,-123,-20,-123,-20,6,9
0,24227,98,01:33.0,0,5143572,,,-94,-12.5,79.859015,6.916014,1725,-101,-18,,,,,,
20,20303,211,00:43.0,20,5197568,,,-96.5,-13.5,81.727545,7.687498,1725,-102.3,-17.6,,,,,8,5.7
0,20731,375,01:42.0,0,6429184,6145793,,-109,-14.5,79.840961,7.220184,1725,-116,-20,-117,-20,,,8,6
30,24045,144,01:51.0,30,6155530,,,-99,-12.9,81.502815,7.945577,1725,-107.8,-18.1,,,,,10,8.5
0,20195,330,01:50.0,0,5289492,6288643,6158850,-107,-14.5,79.890597,7.088001,1725,-108,-17.5,-109,-17,-109,-18.5,5,6
0,20195,330,01:53.0,0,6288643,5289492,5282562,-105,-15,79.890127,7.087777,1725,-105,-15.5,-106,-17,-108,-17,5,6
131,20402,278,01:14.0,,5196932,5223044,,-101,-12.5,81.829447,7.425221,41090,-99,-11.5,-109,-20,,,,
1,21148,194,01:52.0,1,5413888,6323969,,-118,-17.5,80.359605,7.442467,1725,-119,-19,-119,-19.5,,,7,16
0,22689,309,00:38.0,0,5323777,5323778,6381569,-105,-14,80.368924,7.472944,1725,-105,-16.5,-106,-16,-111,-20,5,11
3,25629,346,01:37.0,3,5227264,,,-105.7,-13.7,80.311989,8.187346,1725,-108.3,-15.7,,,,,7,28.5
30,24045,144,01:21.0,30,6127104,,,-106.4,-15.6,81.525127,7.945749,1725,-108.9,-17.4,,,,,4.8,42
0,20195,330,01:47.0,0,6288643,5282562,6158850,-97,-11,79.890808,7.08769,1725,-103,-17,-104,-17.5,-107,-19,7,6
30,20303,327,00:53.0,30,5197569,,,-90.4,-13.1,81.725334,7.686207,1725,-94.8,-15.8,,,,,8,4.7
10,20303,212,00:23.0,10,5197588,,,-99,-13,81.728647,7.684155,1725,-100,-15,,,,,,10
0,24227,98,00:33.0,0,5128962,6202113,5121024,-98,-15,79.860069,6.914823,1725,-102,-18,-102,-18,-103,-19,8,2
3,21585,112,00:58.0,3,5525790,6918913,,-100,-16.3,80.130819,7.132428,1725,-96.3,-12.7,-100.7,-17,,,,
2,26426,399,00:53.0,2,6765077,,,-82.8,-13.8,81.831499,7.405322,1725,-85,-15.9,,,,,10.5,2
2,24045,146,00:29.0,2,6155520,6127106,,-98,-15.5,81.495296,7.970981,1725,-100,-17.5,-103,-19,,,6,40
2,22715,153,00:51.0,2,5808908,,,-105.7,-15.2,81.19173,8.676246,1725,-105.3,-14.2,,,,,8,12
0,20697,339,01:40.0,0,5298443,5298453,,-97,-15.5,79.950558,7.173201,1725,-101,-16,-101,-17,,,8,4
