Cell_Name,Site ID,Node_Id,Cell_Id,Technology,Technology_Description,Band,Global_Cellid
Kudawella_Lamp-HA5035-P_A,HA5035,27542,10,4G,LTE FDD,FDD2100,7050762
Kadugoda-CM0501-P_C,CM0501,23710,9,4G,LTE FDD,FDD2100,6069769
Kumbalagama-KE0070-P_B,KE0070,22825,7,4G,LTE FDD,FDD2100,5843207
Gandara_Town_Lamp-MR5016-P_A,MR5016,25278,4,4G,LTE FDD,FDD2100,6471172
Piliyandala-CM0091-P_2D,CM0091,20312,23,4G,LTE FDD,FDD2100,5199895
Piliyandala-CM0091-P_1D,CM0091,20312,22,4G,LTE FDD,FDD2100,5199894
Meegoda_Railway_Lamp-CM5181-P_A,CM5181,25483,3,4G,LTE FDD,FDD2100,6523651
Katuwana-HA0021-P_3C,HA0021,22248,20,4G,LTE FDD,FDD2100,5695508
Ulapane_Suntel-KA0266-P_4B,KA0266,25142,11,4G,LTE FDD,FDD2100,6436363
Ulapane_Suntel-KA0266-P_2B,KA0266,25142,9,4G,LTE FDD,FDD2100,6436361
Ulapane_Suntel-KA0266-P_3B,KA0266,25142,10,4G,LTE FDD,FDD2100,6436362
Nakiyadeniya-GA0038-P_3A,GA0038,25160,9,4G,LTE FDD,FDD2100,6440969
Kathaluwa-GA0236-P_2C,GA0236,25157,9,4G,LTE FDD,FDD2100,6440201
Pinnaduwa-GA0221-P_4B,GA0221,21094,9,4G,LTE FDD,FDD2100,5400073
Denipitiya_West-MR0108-P_1B,MR0108,22511,9,4G,LTE FDD,FDD2100,5762825
Midigama_South-MR0152-P_A,MR0152,24687,9,4G,LTE FDD,FDD2100,6319881
Akmeemana-GA0019-P_2B,GA0019,25006,9,4G,LTE FDD,FDD2100,6401545
Ahangama_Town-GA0067-P_1B,GA0067,20921,9,4G,LTE FDD,FDD2100,5355785
Ahangama-GA0016-P_2B,GA0016,25004,9,4G,LTE FDD,FDD2100,6401033
Kokmaduwa-MR0130-P_2C,MR0130,21084,9,4G,LTE FDD,FDD2100,5397513
Nevungala-GA0081-P_3A,GA0081,25755,9,4G,LTE FDD,FDD2100,6593289
Welipitiya-MR0034-P_C,MR0034,25707,9,4G,LTE FDD,FDD2100,6581001
Mirissa_Bus_Stop_Lamp-MR5001-P_C,MR5001,24436,9,4G,LTE FDD,FDD2100,6255625
Habaraduwa-GA0068-P_1A,GA0068,20922,9,4G,LTE FDD,FDD2100,5356041
